"county","precinct","year","State House DEM","State Senate DEM","US House DEM"
"Salt Lake","BLF001",2016,151,,206
"Salt Lake","BLF001",2018,154,184,239
"Salt Lake","BLF003",2016,189,,242
"Salt Lake","BLF003",2018,269,304,369
"Salt Lake","BLF004",2016,118,,163
"Salt Lake","BLF004",2018,140,160,225
"Salt Lake","BLF005",2016,3,,4
"Salt Lake","BLF005",2018,4,3,5
"Salt Lake","BLF006",2016,92,,126
"Salt Lake","BLF006",2018,399,437,551
"Salt Lake","BLF007",2016,294,,366
"Salt Lake","BLF007",2018,180,191,233
"Salt Lake","CBL001",2016,109,,117
"Salt Lake","CBL001",2018,112,113,137
"Salt Lake","CBL002",2016,91,,85
"Salt Lake","CBL002",2018,88,84,96
"Salt Lake","CNR001",2016,303,,320
"Salt Lake","CNR002",2016,415,,419
"Salt Lake","CNR004",2016,483,,350
"Salt Lake","CNR005",2016,520,,417
"Salt Lake","CNR007",2016,513,,398
"Salt Lake","CNR008",2016,466,,363
"Salt Lake","CNR009",2016,363,,255
"Salt Lake","CNR010",2016,653,,515
"Salt Lake","CNR011",2016,516,,342
"Salt Lake","COP001",2016,163,,183
"Salt Lake","COP001",2018,182,188,197
"Salt Lake","DRP002",2016,366,,397
"Salt Lake","DRP002",2018,,407,508
"Salt Lake","DRP005",2016,0,,0
"Salt Lake","DRP007",2016,166,,170
"Salt Lake","DRP007",2018,,248,290
"Salt Lake","EMC001",2016,547,,453
"Salt Lake","EMC003",2016,474,,389
"Salt Lake","EMC004",2016,609,,414
"Salt Lake","EMC005",2016,469,,307
"Salt Lake","EMC006",2016,557,,453
"Salt Lake","EMC007",2016,503,,403
"Salt Lake","EMC008",2016,718,,542
"Salt Lake","EMC010",2016,501,,330
"Salt Lake","EMC011",2016,391,,303
"Salt Lake","FUR001",2016,1,1,1
"Salt Lake","FUR001",2018,0,,0
"Salt Lake","HER001",2016,205,225,258
"Salt Lake","HER001",2018,472,,543
"Salt Lake","HER002",2016,239,251,340
"Salt Lake","HER002",2018,281,,376
"Salt Lake","HER003",2016,,39,39
"Salt Lake","HER003",2018,,,46
"Salt Lake","HER004",2016,149,141,198
"Salt Lake","HER004",2018,192,,233
"Salt Lake","HER005",2016,173,,233
"Salt Lake","HER005",2018,279,,341
"Salt Lake","HER006",2016,104,111,131
"Salt Lake","HER006",2018,127,,126
"Salt Lake","HER007",2016,94,97,117
"Salt Lake","HER007",2018,98,,113
"Salt Lake","HER008",2016,110,125,146
"Salt Lake","HER008",2018,147,,186
"Salt Lake","HER009",2016,118,107,126
"Salt Lake","HER009",2018,133,,154
"Salt Lake","HER010",2016,139,154,178
"Salt Lake","HER010",2018,184,,227
"Salt Lake","HER011",2016,62,,76
"Salt Lake","HER011",2018,82,83,106
"Salt Lake","HER012",2016,169,,206
"Salt Lake","HER012",2018,323,,362
"Salt Lake","HER013",2016,237,,277
"Salt Lake","HER013",2018,210,,253
"Salt Lake","HER014",2016,187,,252
"Salt Lake","HER014",2018,249,,298
"Salt Lake","HER015",2016,99,,144
"Salt Lake","HER015",2018,392,,438
"Salt Lake","HER016",2016,13,8,14
"Salt Lake","HER016",2018,14,,13
"Salt Lake","HER017",2016,84,98,136
"Salt Lake","HER017",2018,203,,248
"Salt Lake","HER018",2016,19,,19
"Salt Lake","HER018",2018,22,,25
"Salt Lake","HER019",2016,243,247,291
"Salt Lake","HER019",2018,484,,527
"Salt Lake","HER020",2016,44,,52
"Salt Lake","HER020",2018,76,,72
"Salt Lake","HER022",2016,24,19,33
"Salt Lake","HER022",2018,34,,45
"Salt Lake","HER024",2016,53,,82
"Salt Lake","HER024",2018,63,68,87
"Salt Lake","HER025",2016,1,2,4
"Salt Lake","HER025",2018,11,,10
"Salt Lake","HOL032",2016,451,,342
"Salt Lake","HOL032",2018,405,409,405
"Salt Lake","HOL033",2016,392,,287
"Salt Lake","HOL033",2018,327,301,312
"Salt Lake","HOL034",2016,444,,334
"Salt Lake","HOL034",2018,373,382,366
"Salt Lake","HOL035",2016,416,,348
"Salt Lake","HOL035",2018,378,366,370
"Salt Lake","KRN001",2016,235,,249
"Salt Lake","KRN001",2018,254,345,326
"Salt Lake","KRN002",2016,54,,68
"Salt Lake","KRN002",2018,50,79,72
"Salt Lake","KRN003",2016,183,,200
"Salt Lake","KRN003",2018,191,224,228
"Salt Lake","KRN004",2016,291,,329
"Salt Lake","KRN004",2018,294,445,381
"Salt Lake","KRN005",2016,305,,368
"Salt Lake","KRN005",2018,289,378,378
"Salt Lake","KRN006",2016,319,,391
"Salt Lake","KRN006",2018,330,449,433
"Salt Lake","KRN008",2016,140,,142
"Salt Lake","KRN008",2018,140,184,184
"Salt Lake","KRN009",2016,47,,49
"Salt Lake","KRN009",2018,49,61,68
"Salt Lake","KRN013",2016,281,,353
"Salt Lake","KRN013",2018,274,393,388
"Salt Lake","KRN015",2016,240,,298
"Salt Lake","KRN015",2018,258,363,352
"Salt Lake","KRN016",2016,265,,282
"Salt Lake","KRN016",2018,259,350,348
"Salt Lake","KRN017",2016,309,,312
"Salt Lake","KRN017",2018,326,439,421
"Salt Lake","KRN018",2016,218,,239
"Salt Lake","KRN018",2018,233,346,299
"Salt Lake","KRN019",2016,294,,337
"Salt Lake","KRN019",2018,294,418,361
"Salt Lake","KRN020",2016,133,,137
"Salt Lake","KRN020",2018,114,149,140
"Salt Lake","KRN021",2016,105,,115
