"county","precinct","office","district","party","candidate","votes","year","votes_cast","percent_of_vote","net_change"
"Utah","AF13","US House",4,"DEM","Ben McAdams",142,2018,447,0.317673378076063,-0.453878346061868
"Utah","AF13","US House",4,"WRI","Jonathan Peterson",0,2018,447,0,
"Utah","AF13","US House",4,"REP","Mia Love",305,2018,447,0.682326621923937,0.675861104682558
"Utah","AF13:UN","US House",4,"DEM","Ben McAdams",6,2018,26,0.230769230769231,
"Utah","AF13:UN","US House",4,"WRI","Jonathan Peterson",0,2018,26,0,
"Utah","AF13:UN","US House",4,"REP","Mia Love",20,2018,26,0.769230769230769,
"Utah","AF14","US House",4,"DEM","Ben McAdams",6,2018,24,0.25,-0.45
"Utah","AF14","US House",4,"WRI","Jonathan Peterson",0,2018,24,0,
"Utah","AF14","US House",4,"REP","Mia Love",18,2018,24,0.75,
"Utah","AF14:UN","US House",4,"DEM","Ben McAdams",4,2018,10,0.4,
"Utah","AF14:UN","US House",4,"WRI","Jonathan Peterson",0,2018,10,0,
"Utah","AF14:UN","US House",4,"REP","Mia Love",6,2018,10,0.6,
"Salt Lake","BLF001","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",239,2018,941,0.253985122210414,0.0387291138509578
"Salt Lake","BLF001","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,941,0,
"Salt Lake","BLF001","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",697,2018,941,0.740701381509033,0.0311924995863579
"Salt Lake","BLF001","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",5,2018,941,0.0053134962805526,0.0053134962805526
"Salt Lake","BLF003","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",369,2018,976,0.378073770491803,0.080044213841557
"Salt Lake","BLF003","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,976,0,
"Salt Lake","BLF003","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",596,2018,976,0.610655737704918,-0.0519058386497618
"Salt Lake","BLF003","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",11,2018,976,0.0112704918032787,0.0112704918032787
"Salt Lake","BLF004","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",225,2018,870,0.258620689655172,0.0493780709131955
"Salt Lake","BLF004","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,870,0,
"Salt Lake","BLF004","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",645,2018,870,0.741379310344828,-0.00316497720331099
"Salt Lake","BLF004","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,870,0,0
"Salt Lake","BLF005","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",5,2018,23,0.217391304347826,0.0745341614906832
"Salt Lake","BLF005","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,23,0,
"Salt Lake","BLF005","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",17,2018,23,0.739130434782609,-0.0465838509316771
