precinct	Registered Voters	Ballots Cast	Voter Turnout
ALT001	155	131	0.85
BLF001	1201	968	0.81
BLF003	1285	994	0.77
BLF004	1108	887	0.80
BLF005	40	23	0.58
BLF006	1633	1219	0.75
BLF007	1103	871	0.79
BRT901	273	245	0.90
BRT902	3	3	1.00
CBL001	306	231	0.75
CBL002	217	176	0.81
CCN001	3	3	1.00
COP001	430	362	0.84
COT001	1007	871	0.86
COT003	593	486	0.82
COT004	934	772	0.83
COT007	346	289	0.84
COT008	605	511	0.84
COT009	574	475	0.83
COT011	774	693	0.90
COT012	900	729	0.81
COT013	713	596	0.84
COT014	377	338	0.90
COT015	541	458	0.85
COT016	694	605	0.87
COT017	556	468	0.84
COT018	597	506	0.85
COT019	566	511	0.90
COT020	671	585	0.87
COT021	671	572	0.85
COT022	745	645	0.87
COT023	669	612	0.91
COT024	556	504	0.91
COT025	547	481	0.88
COT026	517	447	0.86
COT027	602	504	0.84
COT028	490	412	0.84
COT029	667	563	0.84
COT030	470	376	0.80
COT031	430	367	0.85
COT033	757	664	0.88
COT034	895	789	0.88
COT036	821	722	0.88
COT037	542	484	0.89
COT038	42	38	0.90
COT039	92	76	0.83
DRP002	1318	1035	0.79
DRP003	1237	967	0.78
DRP004	1148	933	0.81
DRP006	714	577	0.81
DRP007	829	628	0.76
DRP008	410	350	0.85
DRP009	1082	837	0.77
DRP010	1065	855	0.80
DRP011	1121	885	0.79
DRP013	1103	912	0.83
DRP015	1164	964	0.83
DRP017	1058	875	0.83
DRP019	1089	903	0.83
DRP020	964	794	0.82
DRP024	1107	904	0.82
DRP025	1024	825	0.81
DRP027	1301	1022	0.79
DRP028	1008	763	0.76
DRP029	1060	874	0.82
DRP030	758	602	0.79
DRP031	1142	892	0.78
DRP032	167	119	0.71
EMG001	1069	967	0.90
FUR001	2	0	0.00
GNT001	156	132	0.85
GNT004	283	243	0.86
GNT006	244	215	0.88
GSL001	21	14	0.67
HER001	1714	1258	0.73
HER002	1249	947	0.76
HER003	111	60	0.54
HER004	807	650	0.81
HER005	1443	1094	0.76
HER006	680	516	0.76
HER007	497	363	0.73
HER008	714	563	0.79
HER009	630	484	0.77
HER010	774	614	0.79
HER011	313	257	0.82
HER012	1339	989	0.74
HER013	1332	1011	0.76
HER014	1330	1021	0.77
HER015	1524	1096	0.72
HER016	63	52	0.83
HER017	970	757	0.78
HER018	175	129	0.74
HER019	1459	1134	0.78
HER020	293	238	0.81
HER022	184	146	0.79
HER024	248	210	0.85
HER025	38	25	0.66
HOL001	826	723	0.88
HOL003	646	575	0.89
HOL004	464	419	0.90
HOL005	616	514	0.83
HOL006	772	673	0.87
HOL007	637	581	0.91
HOL008	653	577	0.88
HOL009	425	379	0.89
HOL010	699	630	0.90
HOL011	826	725	0.88
HOL012	598	540	0.90
HOL013	998	875	0.88
HOL015	601	538	0.90
HOL016	800	712	0.89
HOL017	290	259	0.89
HOL018	797	704	0.88
HOL019	959	836	0.87
HOL021	765	685	0.90
HOL022	424	371	0.88
HOL023	582	507	0.87
HOL024	800	711	0.89
HOL025	373	340	0.91
HOL026	485	411	0.85
HOL027	87	79	0.91
HOL028	965	829	0.86
HOL030	414	367	0.89
HOL031	354	322	0.91
HOL032	701	620	0.88
HOL033	592	516	0.87
HOL034	622	568	0.91
HOL035	609	550	0.90
KRN001	749	554	0.74
KRN002	200	130	0.65
KRN003	446	325	0.73
KRN004	875	653	0.75
KRN005	837	581	0.69
KRN006	861	652	0.76
KRN007	124	84	0.68
KRN008	397	285	0.72
KRN009	127	94	0.74
KRN010	580	404	0.70
KRN011	799	586	0.73
KRN012	307	225	0.73
KRN013	858	624	0.73
KRN014	60	33	0.55
KRN015	763	562	0.74
KRN016	738	522	0.71
KRN017	831	631	0.76
