slco_precinct,Registered Voters,ben_Vote Center,ben_VBM,ben_Early Voting,ben_Total Votes,mia_Vote Center,mia_VBM,mia_Early Voting,mia_Total Votes,write_Vote Center,write_VBM,write_Early Voting,write__Total Votes,jon_Vote Center,jon_VBM,jon_Early Voting,jon_Total Votes,jon_Total
BLF001,1201,34,200,5,239,80,612,5,697,1,4,0,5,0,0,0,0,941
BLF003,1285,50,313,6,369,70,518,8,596,4,7,0,11,0,0,0,0,976
BLF004,1108,31,193,1,225,66,574,5,645,0,0,0,0,0,0,0,0,870
BLF005,40,2,3,0,5,3,14,0,17,0,1,0,1,0,0,0,0,23
BLF006,1633,95,444,12,551,103,527,7,637,1,5,0,6,0,0,0,0,1194
BLF007,1103,36,194,3,233,71,527,8,606,0,6,0,6,0,0,0,0,845
CBL001,306,17,115,5,137,7,77,2,86,0,0,0,0,0,0,0,0,223
CBL002,217,8,87,1,96,10,64,1,75,0,1,0,1,0,0,0,0,172
COP001,430,33,163,1,197,29,101,2,132,0,5,0,5,0,0,0,0,334
DRP002,1318,58,437,13,508,62,426,11,499,0,5,0,5,0,0,0,0,1012
DRP007,829,50,226,14,290,49,258,8,315,0,2,0,2,0,0,0,0,607
FUR001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HER001,1714,99,434,10,543,91,573,6,670,1,7,0,8,0,0,0,0,1221
HER002,1249,48,326,2,376,52,489,4,545,0,3,0,3,0,1,0,1,925
HER003,111,17,28,1,46,2,9,1,12,0,0,0,0,0,0,0,0,58
HER004,807,24,201,8,233,57,333,2,392,0,9,0,9,0,0,0,0,634
HER005,1443,36,300,5,341,63,656,1,720,0,1,0,1,0,0,0,0,1062
HER006,680,19,106,1,126,35,330,1,366,0,2,0,2,0,0,0,0,494
HER007,497,8,104,1,113,24,211,2,237,0,0,0,0,0,0,0,0,350
HER008,714,12,173,1,186,43,321,2,366,0,2,0,2,0,0,0,0,554
HER009,630,20,128,6,154,29,280,2,311,0,3,0,3,0,0,0,0,468
HER010,774,26,199,2,227,45,332,2,379,0,2,0,2,0,0,0,0,608
HER011,313,15,91,0,106,22,125,0,147,0,0,0,0,0,0,0,0,253
HER012,1339,50,303,9,362,83,506,4,593,0,4,0,4,0,0,0,0,959
HER013,1332,32,221,0,253,64,665,2,731,0,6,0,6,0,0,0,0,990
HER014,1330,29,267,2,298,62,633,2,697,0,3,0,3,0,0,0,0,998
HER015,1524,70,364,4,438,96,526,9,631,0,3,0,3,0,0,0,0,1072
HER016,63,2,11,0,13,7,31,0,38,0,0,0,0,0,0,0,0,51
HER017,970,36,207,5,248,65,423,3,491,1,1,0,2,0,0,0,0,741
HER018,175,2,23,0,25,5,93,1,99,0,2,0,2,0,0,0,0,126
HER019,1459,96,409,22,527,95,478,4,577,1,6,0,7,0,0,0,0,1111
HER020,293,12,60,0,72,16,144,0,160,1,0,0,1,0,0,0,0,233
HER022,184,0,45,0,45,10,84,0,94,0,4,0,4,0,0,0,0,143
HER024,248,14,73,0,87,9,108,0,117,0,0,0,0,0,0,0,0,204
HER025,38,2,8,0,10,2,11,0,13,0,2,0,2,0,0,0,0,25
HOL032,701,17,382,6,405,10,189,1,200,0,1,0,1,0,0,0,0,606
