precinct,Registered Voters,Ballots Cast,Voter Turnout
ALT001,155,131,84.52 %
BLF001,1201,968,80.60 %
BLF003,1285,994,77.35 %
BLF004,1108,887,80.05 %
BLF005,40,23,57.50 %
BLF006,1633,1219,74.65 %
BLF007,1103,871,78.97 %
BRT901,273,245,89.74 %
BRT902,3,3,100.00 %
CBL001,306,231,75.49 %
CBL002,217,176,81.11 %
CCN001,3,3,100.00 %
COP001,430,362,84.19 %
COT001,1007,871,86.49 %
COT003,593,486,81.96 %
COT004,934,772,82.66 %
COT007,346,289,83.53 %
COT008,605,511,84.46 %
COT009,574,475,82.75 %
COT011,774,693,89.53 %
COT012,900,729,81.00 %
COT013,713,596,83.59 %
COT014,377,338,89.66 %
COT015,541,458,84.66 %
COT016,694,605,87.18 %
COT017,556,468,84.17 %
COT018,597,506,84.76 %
COT019,566,511,90.28 %
COT020,671,585,87.18 %
COT021,671,572,85.25 %
COT022,745,645,86.58 %
COT023,669,612,91.48 %
COT024,556,504,90.65 %
COT025,547,481,87.93 %
COT026,517,447,86.46 %
COT027,602,504,83.72 %
COT028,490,412,84.08 %
COT029,667,563,84.41 %
COT030,470,376,80.00 %
COT031,430,367,85.35 %
COT033,757,664,87.71 %
COT034,895,789,88.16 %
COT036,821,722,87.94 %
COT037,542,484,89.30 %
COT038,42,38,90.48 %
COT039,92,76,82.61 %
DRP002,1318,1035,78.53 %
DRP003,1237,967,78.17 %
DRP004,1148,933,81.27 %
DRP006,714,577,80.81 %
DRP007,829,628,75.75 %
DRP008,410,350,85.37 %
DRP009,1082,837,77.36 %
DRP010,1065,855,80.28 %
DRP011,1121,885,78.95 %
DRP013,1103,912,82.68 %
DRP015,1164,964,82.82 %
DRP017,1058,875,82.70 %
DRP019,1089,903,82.92 %
DRP020,964,794,82.37 %
DRP024,1107,904,81.66 %
DRP025,1024,825,80.57 %
DRP027,1301,1022,78.55 %
DRP028,1008,763,75.69 %
DRP029,1060,874,82.45 %
DRP030,758,602,79.42 %
DRP031,1142,892,78.11 %
DRP032,167,119,71.26 %
EMG001,1069,967,90.46 %
FUR001,2,0,0.00 %
GNT001,156,132,84.62 %
GNT004,283,243,85.87 %
GNT006,244,215,88.11 %
GSL001,21,14,66.67 %
HER001,1714,1258,73.40 %
HER002,1249,947,75.82 %
HER003,111,60,54.05 %
HER004,807,650,80.55 %
HER005,1443,1094,75.81 %
HER006,680,516,75.88 %
HER007,497,363,73.04 %
HER008,714,563,78.85 %
HER009,630,484,76.83 %
HER010,774,614,79.33 %
HER011,313,257,82.11 %
HER012,1339,989,73.86 %
HER013,1332,1011,75.90 %
HER014,1330,1021,76.77 %
HER015,1524,1096,71.92 %
HER016,63,52,82.54 %
HER017,970,757,78.04 %
HER018,175,129,73.71 %
HER019,1459,1134,77.72 %
HER020,293,238,81.23 %
HER022,184,146,79.35 %
HER024,248,210,84.68 %
HER025,38,25,65.79 %
HOL001,826,723,87.53 %
HOL003,646,575,89.01 %
HOL004,464,419,90.30 %
HOL005,616,514,83.44 %
HOL006,772,673,87.18 %
HOL007,637,581,91.21 %
HOL008,653,577,88.36 %
HOL009,425,379,89.18 %
HOL010,699,630,90.13 %
HOL011,826,725,87.77 %
HOL012,598,540,90.30 %
HOL013,998,875,87.68 %
HOL015,601,538,89.52 %
HOL016,800,712,89.00 %
HOL017,290,259,89.31 %
HOL018,797,704,88.33 %
HOL019,959,836,87.17 %
HOL021,765,685,89.54 %
HOL022,424,371,87.50 %
HOL023,582,507,87.11 %
HOL024,800,711,88.88 %
HOL025,373,340,91.15 %
HOL026,485,411,84.74 %
HOL027,87,79,90.80 %
HOL028,965,829,85.91 %
HOL030,414,367,88.65 %
HOL031,354,322,90.96 %
HOL032,701,620,88.45 %
HOL033,592,516,87.16 %
HOL034,622,568,91.32 %
HOL035,609,550,90.31 %
KRN001,749,554,73.97 %
KRN002,200,130,65.00 %
KRN003,446,325,72.87 %
KRN004,875,653,74.63 %
KRN005,837,581,69.41 %
KRN006,861,652,75.73 %
KRN007,124,84,67.74 %
KRN008,397,285,71.79 %
KRN009,127,94,74.02 %
KRN010,580,404,69.66 %
KRN011,799,586,73.34 %
KRN012,307,225,73.29 %
KRN013,858,624,72.73 %
KRN014,60,33,55.00 %
KRN015,763,562,73.66 %
KRN016,738,522,70.73 %
KRN017,831,631,75.93 %
KRN018,703,529,75.25 %
KRN019,893,644,72.12 %
KRN020,302,217,71.85 %
KRN021,301,232,77.08 %
LTC001,33,26,78.79 %
LTC003,38,40,105.26 %
MAG001,788,585,74.24 %
MAG003,663,480,72.40 %
MAG004,485,374,77.11 %
MAG005,917,718,78.30 %
MAG006,553,406,73.42 %
MAG007,612,476,77.78 %
MAG009,912,690,75.66 %
MAG010,817,593,72.58 %
MAG011,828,645,77.90 %
MAG012,612,479,78.27 %
MAG013,410,327,79.76 %
MAG014,645,493,76.43 %
MAG015,625,468,74.88 %
MAG016,831,604,72.68 %
MAG901,10,8,80.00 %
MID001,1162,894,76.94 %
MID002,721,606,84.05 %
MID003,973,788,80.99 %
MID005,748,654,87.43 %
MID006,781,641,82.07 %
MID009,183,126,68.85 %
MID010,667,529,79.31 %
MID011,996,821,82.43 %
MID013,448,388,86.61 %
MID014,13,11,84.62 %
MID015,772,610,79.02 %
MID016,572,453,79.20 %
MID017,671,504,75.11 %
MID019,533,452,84.80 %
MID022,1038,852,82.08 %
MID024,916,736,80.35 %
MID025,374,283,75.67 %
MID027,357,319,89.36 %
MID028,526,435,82.70 %
MID029,459,398,86.71 %
MID030,381,309,81.10 %
MID032,0,0,0.00 %
MIL001,889,767,86.28 %
MIL002,941,824,87.57 %
MIL003,786,652,82.95 %
MIL004,998,875,87.68 %
MIL005,437,400,91.53 %
MIL006,694,596,85.88 %
MIL007,267,167,62.55 %
MIL008,263,198,75.29 %
MIL009,862,613,71.11 %
MIL010,541,424,78.37 %
MIL011,1007,849,84.31 %
MIL012,781,688,88.09 %
MIL013,726,589,81.13 %
MIL014,498,459,92.17 %
MIL015,911,788,86.50 %
MIL016,1023,858,83.87 %
MIL017,426,357,83.80 %
MIL018,1264,1086,85.92 %
MIL019,873,710,81.33 %
